branchID,branchEmail,zipCode,city,phone,street,staffHours,staffID
95-298-739,swarke0@seesaa.net,64336,Prokhladnyy,138-564-0143,8951 Straubel Terrace,32,8033
78-494-920,vdripp1@ucoz.com,11233,Lingbei,723-546-8536,2 Rowland Court,33,4733
43-826-984,ghighway2@ox.ac.uk,73415,Oli,397-347-2067,12 Elgar Street,50,9033
96-927-709,fspaduzza3@toplist.cz,55256,Sindangsari,623-791-7810,7580 Lakeland Plaza,47,5133
06-180-601,msheriff4@unblog.fr,4609,Dimitrovgrad,488-623-5050,38 Merry Avenue,73,7933
31-968-019,askahill5@imgur.com,62761,Itaperuçu,446-912-9544,486 Linden Junction,12,8333
25-549-744,nswitzer6@hubpages.com,15753,Silva Jardim,106-492-2790,10 Sunfield Park,12,933
58-176-906,borford7@amazon.co.uk,11212,Chiquinquirá,398-919-7199,92164 Meadow Valley Drive,68,4433
05-944-530,fwesthofer8@exblog.jp,11773,Thị Trấn Bắc Hà,830-959-1752,7 Mccormick Trail,97,6033
16-907-526,ybennellick9@bbc.co.uk,34636,Minuyan,504-942-7610,96 Village Parkway,31,1833
92-331-560,weilera@economist.com,34083,Smiths Falls,596-899-3103,55 Clyde Gallagher Junction,90,1033
15-880-465,mpentecustb@nyu.edu,63888,Parista,186-721-6928,15 Spohn Circle,61,9833
89-749-242,dcurranc@yolasite.com,22665,Pangantocan,937-296-2459,75 Sunfield Pass,97,1033
78-872-295,detuckd@columbia.edu,82836,Namibe,936-708-7652,939 Holy Cross Point,26,8733
56-791-998,awildte@indiatimes.com,25151,Huanren,873-220-7211,6515 Portage Circle,40,1733
80-486-711,kpeskinf@arizona.edu,73514,Dalianwan,564-747-2787,15461 Washington Hill,79,2333
23-088-327,lwolffersg@reference.com,32858,Neftegorsk,885-259-4108,7 Truax Center,81,5333
17-742-781,hpetracekh@creativecommons.org,14884,Thung Song,211-162-3568,21 Riverside Junction,44,6733
97-469-990,mcantoi@mac.com,18453,Ford,101-746-4025,21848 Stang Park,63,4933
38-132-336,jbattej@sogou.com,8562,Kalloní,601-372-6212,86 Dakota Way,52,633
93-692-166,mcaineyk@sbwire.com,10122,Gulai,949-792-9201,91 Almo Plaza,72,4133
51-211-178,dlummisl@jalbum.net,36105,Azua,418-453-7109,134 Prairie Rose Avenue,60,2933
27-417-355,kdjokovicm@tmall.com,28895,Omoa,629-843-3952,14 1st Road,13,3433
75-102-593,cmarfen@sohu.com,19843,Pombos,955-391-1566,926 Aberg Pass,48,1733
24-848-683,rpolyeo@rambler.ru,44943,Quşrah,188-625-9137,29 Myrtle Terrace,90,1333
84-251-038,wgrahamslawp@hud.gov,21132,Alcains,723-344-4591,26549 Starling Plaza,74,8533
52-300-746,lfreeberneq@nytimes.com,90182,Mojorejo,420-993-2692,86986 Clove Way,41,7433
18-768-707,rribour@topsy.com,21752,Nart,885-790-6333,6203 Springs Hill,0,1833
34-384-764,ccamilis@slashdot.org,32604,Przemyśl,432-709-0891,5 Jenifer Avenue,40,1833
90-261-515,fsaltmant@xinhuanet.com,75051,Paris 16,323-638-9610,6 Lakeland Point,38,2933
93-284-522,jgumbyu@google.cn,27038,Beixin,970-139-4307,5 Basil Point,80,8033
19-890-941,wwhitehurstv@oaic.gov.au,24942,Prapen,419-710-1003,9 Fisk Circle,38,9733
80-943-300,rarranw@cornell.edu,63082,Budzów,775-226-1445,16 Anniversary Plaza,37,2833
20-071-399,jobrayx@ehow.com,12268,Hpa-an,264-561-8932,863 Westport Circle,32,9233
78-576-178,dheadingy@amazon.co.jp,95677,Arīḩā,918-756-3796,38 Dovetail Alley,18,4433
88-314-802,cstermanz@dyndns.org,4629,Vermelha,753-635-3721,7 Dovetail Point,63,5833
46-786-349,rbruyntjes10@bigcartel.com,19346,Mabuttal East,736-962-9935,47537 Spohn Hill,96,5733
86-091-586,gmontacute11@istockphoto.com,39657,Vale Maceiras,824-394-2627,7523 Bunker Hill Plaza,63,5933
05-417-299,ioxbrough12@lulu.com,75654,Alzamay,278-563-2882,4255 Holmberg Hill,69,7033
22-946-554,mserot13@netlog.com,57275,Ciganaria,858-981-4120,88 Green Ridge Trail,90,7933
22-993-551,bbetham14@cyberchimps.com,28206,Nechanice,214-972-3720,53 Scoville Road,96,2533
09-389-651,doles15@wiley.com,83720,Boston,617-708-8023,169 Stephen Crossing,37,3333
54-258-712,lpakes16@blinklist.com,89252,Dadapan,644-384-4173,9383 Hooker Lane,53,6633
67-709-269,nscrauniage17@unblog.fr,72113,Gouménissa,145-982-0826,80928 Anhalt Parkway,35,3133
77-652-319,galdritt18@ucoz.com,1331,Sevlievo,651-558-6994,7613 West Lane,80,5533
43-581-734,bdenziloe19@goodreads.com,30831,San Martin,773-631-5027,6 Autumn Leaf Place,4,9633
83-499-457,mmacairt1a@amazon.de,10541,Hyesan-dong,113-248-7681,3865 Miller Avenue,18,7633
17-031-600,toflaherty1b@bluehost.com,6978,Rassvet,366-477-7513,32 Lukken Street,61,9033
81-127-367,hkeyte1c@cbsnews.com,62007,Cimuncang,201-792-5956,688 Nevada Trail,36,3033
34-184-104,afellis1d@gravatar.com,60599,Xinjie,788-908-1339,00502 Forster Parkway,48,733
